iso3,series_variant,year,line_code,contribution_pp,kind,notes
GBR,strict,2007,NLB_CHANGE_SUM,0.10622786506559792,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2007,ANCHOR_B9_DELTA,-5.828670879282072e-16,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2007,WEO_GGXCNL_DELTA,0.10622786506559734,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2008,R01,-0.18513268752947815,revenue,nan
GBR,strict,2008,R02,-0.3109226679816869,revenue,nan
GBR,strict,2008,R03,-0.033615844542035644,revenue,nan
GBR,strict,2008,R04,-0.36154704040948193,revenue,nan
GBR,strict,2008,R05,1.3501790843095904,revenue,nan
GBR,strict,2008,R06,0.13100616159647388,revenue,nan
GBR,strict,2008,R07,0.14798113784555114,revenue,nan
GBR,strict,2008,R08,-0.0034211230705842154,revenue,nan
GBR,strict,2008,R09,-0.004370865668790885,revenue,nan
GBR,strict,2008,R10,0.012807352862490668,revenue,nan
GBR,strict,2008,GF01,-0.05444684014397211,expenditure,nan
GBR,strict,2008,GF02,-0.18967300705735185,expenditure,nan
GBR,strict,2008,GF03,-0.030662372433305427,expenditure,nan
GBR,strict,2008,GF04,-2.0069583622418787,expenditure,nan
GBR,strict,2008,GF05,0.058063423480523256,expenditure,nan
GBR,strict,2008,GF06,0.0854957940490255,expenditure,nan
GBR,strict,2008,GF07,-0.3275462499798168,expenditure,nan
GBR,strict,2008,GF08,-0.042486699059552865,expenditure,nan
GBR,strict,2008,GF09,-0.17528352862790642,expenditure,nan
GBR,strict,2008,GF10,-0.47551589859506915,expenditure,nan
GBR,strict,2008,NLB_CHANGE_SUM,-2.4160502331972564,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2008,ANCHOR_B9_DELTA,8.881784197001252e-16,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2008,WEO_GGXCNL_DELTA,-2.4160502331972555,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2009,R01,-0.6195183358240458,revenue,nan
GBR,strict,2009,R02,0.22064087567427657,revenue,nan
GBR,strict,2009,R03,-0.28135671951012853,revenue,nan
GBR,strict,2009,R04,-0.37264997073858597,revenue,nan
GBR,strict,2009,R05,-1.1680328455455251,revenue,nan
GBR,strict,2009,R06,0.0837844751837416,revenue,nan
GBR,strict,2009,R07,-0.13625573069826458,revenue,nan
GBR,strict,2009,R08,-0.07753751436313976,revenue,nan
GBR,strict,2009,R09,0.2812044338155205,revenue,nan
GBR,strict,2009,R10,0.014682298594778263,revenue,nan
GBR,strict,2009,GF01,0.18701340935151703,expenditure,nan
GBR,strict,2009,GF02,-0.18907741446072096,expenditure,nan
GBR,strict,2009,GF03,-0.18955294330876143,expenditure,nan
GBR,strict,2009,GF04,0.8910310985190018,expenditure,nan
GBR,strict,2009,GF05,-0.12369573635089073,expenditure,nan
GBR,strict,2009,GF06,-0.22053696910649817,expenditure,nan
GBR,strict,2009,GF07,-0.8264596582262793,expenditure,nan
GBR,strict,2009,GF08,-0.061308634356951365,expenditure,nan
GBR,strict,2009,GF09,-0.46388595652691184,expenditure,nan
GBR,strict,2009,GF10,-1.87286584020018,expenditure,nan
GBR,strict,2009,NLB_CHANGE_SUM,-4.924377678078048,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2009,ANCHOR_B9_DELTA,8.881784197001252e-16,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2009,WEO_GGXCNL_DELTA,-4.924377678078047,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2010,R01,0.826949553609354,revenue,nan
GBR,strict,2010,R02,0.3614974721236529,revenue,nan
GBR,strict,2010,R03,-0.27026654565895786,revenue,nan
GBR,strict,2010,R04,0.34728137650412505,revenue,nan
GBR,strict,2010,R05,-0.11869937174065273,revenue,nan
GBR,strict,2010,R06,-0.059304580912865335,revenue,nan
GBR,strict,2010,R07,-0.03991098027112008,revenue,nan
GBR,strict,2010,R08,-0.03524693572191982,revenue,nan
GBR,strict,2010,R09,-0.077043150667842,revenue,nan
GBR,strict,2010,R10,-0.022043224035801084,revenue,nan
GBR,strict,2010,GF01,-1.1858670732507675,expenditure,nan
GBR,strict,2010,GF02,-0.008193087160478923,expenditure,nan
GBR,strict,2010,GF03,0.04137291966111942,expenditure,nan
GBR,strict,2010,GF04,0.7307959733809343,expenditure,nan
GBR,strict,2010,GF05,0.05731992472524511,expenditure,nan
GBR,strict,2010,GF06,0.3273783169412377,expenditure,nan
GBR,strict,2010,GF07,0.09421122324084208,expenditure,nan
GBR,strict,2010,GF08,0.016767600726626773,expenditure,nan
GBR,strict,2010,GF09,0.011391014559665458,expenditure,nan
GBR,strict,2010,GF10,-0.2738378371080874,expenditure,nan
GBR,strict,2010,NLB_CHANGE_SUM,0.7245525889443096,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2010,ANCHOR_B9_DELTA,-4.440892098500626e-16,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2010,WEO_GGXCNL_DELTA,0.7245525889443092,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2011,R01,0.7562559395808903,revenue,nan
GBR,strict,2011,R02,-0.180778077591031,revenue,nan
GBR,strict,2011,R03,-0.00046337644098726205,revenue,nan
GBR,strict,2011,R04,-0.12286164172807396,revenue,nan
GBR,strict,2011,R05,0.07775464947728274,revenue,nan
GBR,strict,2011,R06,0.024496048772949808,revenue,nan
GBR,strict,2011,R07,0.03257004889228358,revenue,nan
GBR,strict,2011,R08,0.0030820144599594647,revenue,nan
GBR,strict,2011,R09,-0.24479870222476885,revenue,nan
GBR,strict,2011,R10,-0.06203608701932826,revenue,nan
GBR,strict,2011,GF01,-0.24084446351386735,expenditure,nan
GBR,strict,2011,GF02,0.07093448423089802,expenditure,nan
GBR,strict,2011,GF03,0.14113926877320182,expenditure,nan
GBR,strict,2011,GF04,0.36877429690342844,expenditure,nan
GBR,strict,2011,GF05,0.09464803199121674,expenditure,nan
GBR,strict,2011,GF06,0.2800102191321827,expenditure,nan
GBR,strict,2011,GF07,0.21188207473766124,expenditure,nan
GBR,strict,2011,GF08,0.05206686231211087,expenditure,nan
GBR,strict,2011,GF09,0.46733050155211353,expenditure,nan
GBR,strict,2011,GF10,0.0933786814847154,expenditure,nan
GBR,strict,2011,NLB_CHANGE_SUM,1.8225407737828379,total,Δ((ΣR-ΣE)/GDP); V26: equals the line sum exactly
GBR,strict,2011,ANCHOR_B9_DELTA,2.220446049250313e-16,memo,"anchor Δ(B9/GDP) minus the sum-based change; rounding/vintage wedge, never allocated (D16)"
GBR,strict,2011,WEO_GGXCNL_DELTA,1.822540773782838,memo,"WEO 2026-04 Δ(GGXCNL/NGDP), comparison column per §8.3"
GBR,strict,2012,R01,-0.030140490840892264,revenue,nan
GBR,strict,2012,R02,0.03841917850417251,revenue,nan
GBR,strict,2012,R03,-0.5088708460308372,revenue,nan
GBR,strict,2012,R04,-0.19741636780490762,revenue,nan
GBR,strict,2012,R05,-0.05802111521369287,revenue,nan
GBR,strict,2012,R06,-0.08268499317666267,revenue,nan
GBR,strict,2012,R07,-0.016938686867471343,revenue,nan
GBR,strict,2012,R08,0.15473062286341976,revenue,nan
GBR,strict,2012,R09,-0.16776726716382256,revenue,nan
GBR,strict,2012,R10,0.09600632482122792,revenue,nan
GBR,strict,2012,GF01,0.3843499319167214,expenditure,nan
GBR,strict,2012,GF02,0.09576544411817114,expenditure,nan
GBR,strict,2012,GF03,0.1134511961380532,expenditure,nan
GBR,strict,2012,GF04,-0.5460734192540923,expenditure,nan
GBR,strict,2012,GF05,0.009534753354088939,expenditure,nan
GBR,strict,2012,GF06,0.011663303232324444,expenditure,nan
