run_id,iso3,year,chain,step,value_lcu_mn,item_source_id,basis,period_basis,period_conversion_method,snapshot_sha256,quality_grade,notes
20260909T180316Z,DEU,2016,financing,C_s13_nlb,36237.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2017,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2017,financing,B_s1311_b9,10266.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2017,financing,C_s13_nlb,44571.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2018,financing,A_cg_cash_requirement,,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2018,financing,B_s1311_b9,22400.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2018,financing,C_s13_nlb,64667.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2019,financing,A_cg_cash_requirement,0.0,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2019,financing,B_s1311_b9,18184.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2019,financing,C_s13_nlb,46949.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2020,financing,A_cg_cash_requirement,130464.48318883,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2020,financing,B_s1311_b9,-91289.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2020,financing,C_s13_nlb,-151131.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2021,financing,A_cg_cash_requirement,215378.83385097,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2021,financing,B_s1311_b9,-132057.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2021,financing,C_s13_nlb,-116630.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
20260909T180316Z,DEU,2022,financing,A_cg_cash_requirement,115441.64839878,BMF_DATENPORTAL,cash,CY,,078c602ba8637118f6304e0c4083520092bb4ae00e46aea2bd64f81f5d3c9b42,A,"Kreditaufnahmebericht annex 4.10 Nettokreditaufnahme (Ist), edition = year"
20260909T180316Z,DEU,2022,financing,B_s1311_b9,-111159.0,EUROSTAT_GOV10A_MAIN_S1311,accrued,CY,,bd00fe0ae307967c5ecb99bc6497ba609ec495e940582308ce24ae74aa66f94a,A,gov_10a_main S1311 B9
20260909T180316Z,DEU,2022,financing,C_s13_nlb,-76138.0,package_NLB,accrued,CY,,,A,balance_ledger strict NLB
