iso3,as_of,instrument_class,bucket,nominal_lcu_mn,nominal_uplifted_lcu_mn,market_hands_lcu_mn,n_securities,weighted_residual_years,run_id,source_id,snapshot_sha256,quality_grade,notes
DEU,2006-12-31,inflation_linked,7-10,9000.0,9145.08,,1,9.289527720739219,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,other,0-1,4810.042902316039,,,37,0.48775047896597185,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,other,1-2,2429.3496551389367,,,25,1.4189880383694524,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,other,2-3,1225.75515955,,,12,2.3585027171417656,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,other,3-5,2750.49744146,,,28,3.926084857410726,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2006-12-31,other,5-7,2352.8692161,,,35,5.530731499289486,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,bill,0-1,36000.0,,,6,0.2546201232032854,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,0-1,139250.0,,,10,0.4430402923651074,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,1-2,130750.0,,,9,1.4620018505358572,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,2-3,78468.25396825396,,,5,2.381348803422549,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,3-5,167250.0,,,8,3.8731298770524925,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,5-7,95000.0,,,4,5.773608559386146,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,7-10,133500.0,,,8,8.225570193315852,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,10-15,7000.0,,,1,10.012320328542094,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,15-20,21500.0,,,2,17.840376932015346,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,20-30,95000.0,,,6,24.349011131524907,20260910T000226Z,ggfiscal.debt.maturity,,A,
DEU,2007-12-31,fixed_bullet,30+,10000.0,,,1,31.50718685831622,20260910T000226Z,ggfiscal.debt.maturity,,A,
